Approved Symbol	First Design
PRKAR1A	IMPACT-341
PRKCI	IMPACT-468
PRKD1	IMPACT-468
PTCH1	IMPACT-341
PTEN	IMPACT-341
PTP4A1	IMPACT-468
PTPN11	IMPACT-341
PTPRD	IMPACT-341
PTPRS	IMPACT-341
PTPRT	IMPACT-341
RAB35	IMPACT-410
RAC1	IMPACT-341
RAC2	IMPACT-468
RAD21	IMPACT-410
RAD50	IMPACT-341
RAD51	IMPACT-341
RAD51C	IMPACT-341
RAD51L1	IMPACT-341
RAD51L3	IMPACT-341
RAD52	IMPACT-341
RAD54L	IMPACT-341
RAF1	IMPACT-341
RARA	IMPACT-341
RASA1	IMPACT-341
RB1	IMPACT-341
RBM10	IMPACT-341
RECQL	IMPACT-468
RECQL4	IMPACT-341
REL	IMPACT-341
REST	IMPACT-505
RET	IMPACT-341
RFWD2	IMPACT-341
RHEB	IMPACT-410
RHOA	IMPACT-341
RICTOR	IMPACT-341
RIT1	IMPACT-341
RNF43	IMPACT-341
ROS1	IMPACT-341
RPS6KA4	IMPACT-341
RPS6KB2	IMPACT-341
RPTOR	IMPACT-341
RRAGC	IMPACT-468
RRAS	IMPACT-468
RRAS2	IMPACT-468
RTEL1	IMPACT-468
RUNX1	IMPACT-341
RXRA	IMPACT-468
RYBP	IMPACT-341
SCG5	IMPACT-505
SDHA	IMPACT-341
SDHAF2	IMPACT-341
SDHB	IMPACT-341
SDHC	IMPACT-341
SDHD	IMPACT-341
SERPINB3	IMPACT-505
SERPINB4	IMPACT-505
SESN1	IMPACT-468
SESN2	IMPACT-468
SESN3	IMPACT-468
SETD2	IMPACT-341
SETDB1	IMPACT-505
SF3B1	IMPACT-341
SH2B3	IMPACT-410
SH2D1A	IMPACT-341
SHOC2	IMPACT-468
SHQ1	IMPACT-341
SLFN11	IMPACT-505
SLX4	IMPACT-468
SMAD2	IMPACT-341
SMAD3	IMPACT-341
SMAD4	IMPACT-341
SMARCA2	IMPACT-505
SMARCA4	IMPACT-341
SMARCB1	IMPACT-341
SMARCD1	IMPACT-341
SMARCE1	IMPACT-505
SMO	IMPACT-341
SMYD3	IMPACT-468
SOCS1	IMPACT-341
SOS1	IMPACT-468
SOX17	IMPACT-341
SOX2	IMPACT-341
SOX9	IMPACT-341
SPEN	IMPACT-341
SPOP	IMPACT-341
SPRED1	IMPACT-468
SPRTN	IMPACT-505
SRC	IMPACT-341
SRSF2	IMPACT-410
STAG2	IMPACT-341
STAT3	IMPACT-410
STAT5A	IMPACT-410
STAT5B	IMPACT-410
STK11	IMPACT-341
STK19	IMPACT-468
STK40	IMPACT-341
SUFU	IMPACT-341
SUZ12	IMPACT-341
SYK	IMPACT-341
TAP1	IMPACT-468
TAP2	IMPACT-468
TBX3	IMPACT-341
TCEB1	IMPACT-410
TCF3	IMPACT-410
TCF7L2	IMPACT-410
TEK	IMPACT-468
TERT	IMPACT-341
TET1	IMPACT-341
TET2	IMPACT-341
TGFBR1	IMPACT-341
TGFBR2	IMPACT-341
TMEM127	IMPACT-341
TMPRSS2	IMPACT-341
TNFAIP3	IMPACT-341
TNFRSF14	IMPACT-341
TOP1	IMPACT-341
TP53	IMPACT-341
TP53BP1	IMPACT-468
TP63	IMPACT-341
TRAF2	IMPACT-410
